"
  Routinery: Selfcare/Routine","username","bp9Aid","review","AJTPZc","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu9nKOa9nfuDMoLvl4A1n_GTY2ZfDMk0ovQmJqVy1w=s32-rw","Marachime","September 13, 2022","i use the free version. this is a useful way of labeling countdown timers and it really aids my focus. i recommend it to those with ADHD or executive dysfunction. i especially like the flexibility of starting a routine when i want to, and of skipping those tasks that are irrelevant on certain days but not others, or are completed but i forgot to tick them. However, it is irritating when stuff gets added that i can't immediately turn off, like the chat (this can now be turned off) and the breath.","27 people found this review helpful","September 14, 2022","Hello, Marachime.
Thank you so much for your feedback and sorry for the inconvenience caused to you.
We will gladly try to consider your feedback for our further app improvements.
Thank you!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9TyJYIXog2Uo3gA9nTfmO1OAcZCC2261xGT-1NQQ=s32-rw","Sankaranarayanan Viswanathan","October 7, 2022","One of the few compassionate apps I've used. The messaging is gentle and encouraging. The color theme is neutral, minimal, and adds to the calm feeling when using the app. I've only used it for a couple of days now but it's helping me get through basic chores that never come to mind due to my ADHD. The app could use a few improvements to add more flexibility in defining and customizing routines, reduce steps when reordering in-progress routines, remove minor UI lag and stuttering.","17 people found this review helpful","October 12, 2022","Hello, Sankaranarayanan Viswanathan.

Thank you so much for your feedback👍

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9KDylpNA95kNBH_JVAQHIZIvli2qn7PEaS3fhB-A=s32-rw","Vivian Lin","September 14, 2022","It's great, I am sad I can't afford the monthly subscription to add more routines, but that's no reason to give it less stars than it deserves. You get 2 free routines and everything works great! Sometimes the app will freeze on the loading page, but usually it can be fixed by restarting the app or device.","10 people found this review helpful","September 14, 2022","Hello, Vivian Lin.

Thank you so much for your feedback👍

More features will be updated continuously.

Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-NT_ONo5nQp8XdA-HIKtCjR2MQU6VJn3nZKtfJ=s32-rw","Meldosify","September 21, 2022","Great for ADHD. The alert notifications volume connects to my phone's ring/notifications volume. Better if it was connected to my alarm volume. I need to be jarred out of hyperfocus-that's the point. I don't want my phone's text notifications volume to be loud, but I need the alerts from this app to be loud. Either that or they need to add a few more attention-getting sounds. The ones in the app are very pleasant, but are short or don't grab my attention. I love it otherwise.","12 people found this review helpful","September 22, 2022","Hello, Meldosify.

Thank you so much for your feedback👍

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a/ALm5wu2gk6tFBq7uY-skYYHbAcO9A3PM_p8uU4fZNyKcBaU=s32-rw-mo","Bevin Tighe","October 21, 2022","Upgraded to paid version to make more than 2 routines. So worth it! Helps get me ticking through tasks that are boring and/or overwhelming to begin. So much more helpful than pomodoros for me: 1) customizable & flexible REMINDERS to: 2) start the routine, 3) before each task & 4) after the target time & 5) pause options & reorder tasks a few different ways. I wish notificaions pushed to my smart watch. An icon category search bar would be great. Custom sounds would be AWESOME.","3 people found this review helpful","October 25, 2022","Hello, Bevin Tighe.

Thank you so much for your feedback👍

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-MnzF8wsqCfVhywtM7D32SH178LO9XUvmhAWyAIw=s32-rw","Stephan _NYC","November 15, 2022","The app is good. But unfortunately, the synchronization with pixel watch doesn't really work well. When my screen display goes off, the timer pauses. I have to tilt my watch for the timer to resume. Maybe I'm doing something wrong?","","November 16, 2022","Hello, Stephan _NYC.
Thank you so much for your feedback and sorry for the inconvenience caused to you.

If you don't mind, is it okay if you tell us what the problem is by email?
(You can contact us through the 'Feedback' section of the Profile tab.)
We will gladly try to consider your feedback for our further app improvements.
Thank you!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_itZ1Ys-PCKHrujcPAatqEgfzBMaZWQj6GWgncee0=s32-rw","Raven Baugh","November 12, 2022","Saving my grad school life! I just started using it a few weeks ago. I went to a conference and was so turned around when got back! This reminded me how to live and premium is so worth it for features, different time additions, and more routines!! So happy everyday I got this app!! Thanks so much and wish I found it sooner. 😊","","November 16, 2022","Hello, Raven Baugh.

Thank you for loving [Routinery]!
We're happy to hear that we can help your daily life better.

More features will be updated continuously.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a/ALm5wu1XfOVirRghdPjRr1P0U-7rD_8j1DHw5nQHXA4U=s32-rw-mo","Li Barki","October 25, 2022","Great app, has really helped me the past week or so. Only feedback is that sometimes popups and messages are in a different language (but still usable) and the smartwatch app seems to have a couple glitches (like the timer stopping when the screen turns off).","","November 1, 2022","Hello, Li Barki.
Thank you so much for your feedback and sorry for the inconvenience caused to you.

If you don't mind, is it okay if you tell us what the problem is by email?
(You can contact us through the 'Feedback' section of the Profile tab.)
We will gladly try to consider your feedback for our further app improvements.
Thank you!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8HOSYaoGPIGn08_X4YQW_SFFoKuXTBshcuTkHvWQ=s32-rw","Laura Redekopp","October 27, 2022","Just added it and already Love it! Wishing there would be a search feature to select icons faster to pair with tasks, and also a feature to duplicate and then adjust a previously made routine into a new one :) Overall worth the investment 👍🏼😊","","November 1, 2022","Hello, Laura Redekopp.

Thank you so much for your feedback👍

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8CRGXxCdQTvUxDe8CgzNgKo0pxfr4TpH5T9pYAPg=s32-rw","Mai Oh","September 21, 2022","It made my life so much more organized and productive !! I get up now at 5:50 and go to bed at least before 11:30 And no more forgetting things! It's just a perfect app Simple and intuitive Interface and Design 😍 and lots of useful functions I'm planning to move on the premium subscription 👍 Thank you guys!","","September 22, 2022","Hello, Mai Oh.

Thank you so much for your feedback👍

More features will be updated continuously.

Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_POYdJT7A8mHTRbWVO_KuCtsLCDCGa4HVUzcEU=s32-rw","shemaiah asher","September 20, 2022","This app is nicely designed to be friendly, pleasing and fun to the eye. I love the idea of a seed growing every single day you do your routine gives you something to look forward to and sets a goal for you. It would have been nive to have a calender in the app, just a future segestion","","September 22, 2022","Hello, shemaiah asher.

Thank you so much for your feedback👍

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_hgpBufxOtnGz73lkQrY8ZETx9BQu9kMj59MtxVw=s32-rw","Abhishek Ranjan","September 26, 2022","I was looking for something like this for year and it's a blessing to find it. It has boosted my productivity so much. Very easy to make new habits as it enforces implementation intention and habit stacking. And on top of that the timer helps to create the feeling of urgency. I really really like it. Have already created more than 6 routines: ) It's worth every penny I spent on it. Thanks 🙏🏼","","September 29, 2022","Hello, Abhishek Ranjan.

Thank you for loving Routinery!
We're happy to hear that we can help your daily life better.

More features will be updated continuously.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_0WnVqfLU-onEngEA2KWag7JDvdnOdCmx8Z9gBBg=s32-rw","Avrianna Clark","September 23, 2022","It was perfect until recently, whenever I leave the app, even though it's in the background still, it restarts the whole app and I have to start over the routine timer and skip to where I was. Other than that, it's been pretty good","","September 26, 2022","Hello, Avrianna Clark.

Thank you so much for your feedback👍

More features will be updated continuously.

Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-aW27i_EV7WG80fLnOlpi7p9nYhEy2YbeT06MYgJE=s32-rw","Sheryl","September 27, 2022","Love the app normally. Been using it to help me remember tasks and stay close to time. I have ADHD, prefer this to tiimo. But lately it's a little buggy. Open the app and the routine I started is no longer running and progress isn't saved 😔","1 person found this review helpful","September 29, 2022","Hello, Sheryl.

Thank you so much for your feedback👍

More features will be updated continuously.

Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-UkUo6C9kAEQD6E2AiZcFXUcz-d_jTVzByEtDbIw=s32-rw","Jourdan Davis","October 11, 2022","This app actually changed my life. No hyperbole at all. I couldn't get to do myself to do anything healthy for the longest time. Turns out that work really well with timers and I often have decision fatigue. This app fixed that for me! I'm so grateful!","","October 12, 2022","Hello, Jourdan Davis.

Thank you for loving Routinery!
We're happy to hear that we can help your daily life better.

More features will be updated continuously.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9vNLfFCeUQzXgZvhBhkho55E5luaTSeW4ZVfRyDQ=s32-rw","Debbie Potter","October 18, 2022","I am incapable of building any routines but this app has really helped and I'm not sure if I could be without it now! There are some additional features that would be good like the ability to add a bit of extra time to tasks.","","October 21, 2022","Hello, Debbie Potter.

Thank you so much for your feedback👍

More features will be updated continuously.

Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_1w_Y_-7odcwBNqeaafQjDC8lvwZmvU0k3eXQziOY=s32-rw","Janelle Southern","September 10, 2022","Perfect. The only thing I could dream of this adding is a plug in with Spotify to coordinate playlists with routines. I am a nightmare in the mornings. I have a mess of physical and mental health issues and serious executive dysfunction. I found myself dancing while brushing my teeth this morning. That's crazy. Mornings and nights are finally feeling productive and getting me moving.","","September 14, 2022","Hello, Janelle Southern.

Thank you so much for your feedback👍

Try using the context in timer! You can create an environment where you can put in a link to the Spotify and it every time you run a routine.


More features will be updated continuously.

Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_CsFocCeau-9E8DQyQcZxX2J81iy4aXqvBWoAheA=s32-rw","Angelika Walczak","September 21, 2022","I'm using the free version for now and am loving it so far, it helps me get through my morning routine without getting distracted and forgetting half of the things I should do :) I will be getting a subscription soon when I start uni again so that I can create more routines for different days would love if we could get smartwatch support at some point :)","1 person found this review helpful","September 22, 2022","Hello, Angelika Walczak.

Thank you so much for your feedback👍

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_-R7K6I1q4yUO3k68fVRjiNfVfzYPeO1XA9zV5EdA=s32-rw","K T","June 29, 2022","really really liked this app... it is simple, helpful and has a nice clean aesthetic. BUT 2 routines is very limiting, and personally the subscription cost is a bit much for me. It also displayed a lower price than it actually is when you go to checkout (I believe it said it $48 a year), and trying the 1 month payment was declined. I'll be looking elsewhere if I can find another system, as I really need more than 2 routines. Other than that, a fantastic app I recommend, if you've less routines","10 people found this review helpful","July 7, 2022","Hello, K T.

Thank you for using Routinery.

We will continue to add various functions so that you can use Routinery sufficiently even without a subscription.

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-cN9RY1CLcja6Uzhqj2OYhMW9BCk5TcDJjZggi=s32-rw","Anita","July 11, 2022","As a person with ADHD, this app helped me establish routines and stay consistent with them. I love the minimalist setup and the fact that not having premium doesn't drastically affect your experience unlike other apps. However, my biggest problem was that there was no audible ringer that notified you when your task time was over. My task would just move on to another task without me knowing and this messed up one of my routines. If you guys could add this feature, that would be great!","37 people found this review helpful","July 16, 2022","Hello, Anita.

Thank you so much for your feedback👍

Turn on receive notifications in the routine settings. After that, you can adjust the volume in the timer settings on the Profile tab. Try it!

More features will be updated continuously.

Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a/ALm5wu3XAnbp-v7EqzZteew0CNrX7vEUDqkkZMerKriI=s32-rw-mo","Mark Leonardson","August 13, 2022","It's a great help indealing with time blindness and habit development. Once routines are created, they are very easy to follow. However, the addition of some basic tools, such as the ability to copy existing routines and to sort icons by categories other than those preset, would make the creation process much faster and less frustrating.","25 people found this review helpful","August 15, 2022","Hello, Mark Leonardson.

Thank you so much for your feedback👍

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_VB3ZyAJSiSo9m5UMeb4DOdopa131oye-7QJmRPJA=s32-rw","Jules","July 25, 2022","Definitely a learning curve with this app but I use it daily. I wish they allowed you to copy old routines before you archive them so that you can have a similar routine and change it up a little without having to make an entirely new routine after archiving them. I'd also like it if there was an option to like remind me to do something later, perhaps at a time or certain part of the routine, rather than to put it at the end, move it or skip it. I don't often make it to the end of my routine","10 people found this review helpful","July 26, 2022","Hello, Jules.

Thank you so much for your feedback👍

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1Zlap-9gu8Kprf64SXfud1VxtVQui39vr_s9Hn=s32-rw-mo","Ariel Nepsky","August 3, 2022","Really love this app. I have ADHD and this is essential for my morning and evening routines. It's very simple to use, with none of the distractions other routine apps have. It's always very kind, for lack of a better word, and doesn't penalize you for breaking a streak or exceeding your time limit - I know some ppl like that but I sure don't! I also asked the dev for support several months ago and they were very quick to assist me. Great app, worth the money!","39 people found this review helpful","August 15, 2022","Hello, Ariel Nepsky!

Thank you for loving Routinery!
We're happy to hear that we can help your daily life better.

More features will be updated continuously.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8x2n_lCG7KVf_6ouq9PFYKGslHY4bbZ7kWPln7VCM=s32-rw","Wonnie K.","November 3, 2022","I have gone through SO many productivity apps with my ADHD. Even after diagnosis & meds, I still need them. This app has been hands down the BEST. Absolutely worth the money. I suspect the developers also have ADHD bc it's like they UNDERSTAND exactly what components are missing in those other apps. This app has almost EVERYTHING I need, is SO customizable, adorable, SO HELPFUL in helping me to MANAGE AN ADULT LIFE!! & Their team is SO responsive & compassionate. And they continue to IMPROVE it!","","November 8, 2022","Hello, Wonnie K..

Thank you for loving Routinery!
We're happy to hear that we can help your daily life better.

More features will be updated continuously.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_tcnebsYTSq_y3PouA72bZzpQDn89gCcrunL6-Sg=s32-rw","Zaiyda B.","August 11, 2022","I have ASD and ADHD. Routines are required for me to stay functional and maintain consistency. I like Routinery and I'll be subscribing fully soon. It's simple to use, I love the UI, and so far, it helps me stay motivated since I am easily prone to abandon routines due to my aforementioned ADHD. I wish you could get more than one routine in the free version, which would make it a little more accessible, but still, $3.99 a month isn't a bad price for what you get. I approve! :)","25 people found this review helpful","August 11, 2022","Hello, Zaiyda B.

Thank you for loving Routinery!
We're happy to hear that we can help your daily life better.

More features will be updated continuously.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9vFap_6PYl1EL3OLyOE2HBl4cUi4CUo9ZJyjbKaNQ=s32-rw","Amanda Francis","November 15, 2022","Absolutely fantastic. Can't recommend it to enough people. My tip would be, start with a routine you already do and slowly build. Don't just use one of the pre-build ones if it doesn't fit your needs.","","November 16, 2022","Hello, Amanda Francis.

Thank you for loving [Routinery]!
We're happy to hear that we can help your daily life better.

More features will be updated continuously.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8f8eW9dQm7Jn5L_hKK2EyZBduhDDPrtdsQGMF7Zw=s32-rw","0o0","November 17, 2022","This changed my friends and my life. And we all have ADHD symptoms. This app FIXES your awareness of time and makes every minute count. Suddenly every task is possible and the day never ends. It's so satisfying to get so much done and see the percentage of how much you completed GET HIGHER🙌🏼. This app could benefit ANYONE. Whether you're in university, work a job, or in between both and looking to change your life. Just know that ""the secret of your success is found in your daily routine.""","","November 18, 2022","Hello, 0o0.

Thank you for loving [Routinery]!
We're happy to hear that we can help your daily life better.

More features will be updated continuously.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_MLUzZAOJ4xJ9vBvP7arsQ0-KqaGIgHls1TbfmAQ=s32-rw","Philip Downer","September 22, 2022","This is a very useful app, however the sounds have stopped working and I cannot get them working again. Without alerts that a task is overrunning then it's pretty useless","2 people found this review helpful","September 26, 2022","Hello, Philip Downer.
Thank you so much for your feedback and sorry for the inconvenience caused to you.

If you don't mind, is it okay if you tell us what the problem details?

We will gladly try to consider your feedback for our further app improvements.

Thank you!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_NBFoaorJtDXcOKDIufuySaaKWr2Jp9zSDF1BsLg=s32-rw","Angela Holtz (Angie)","October 27, 2022","I'm using the free version to create morning and bedtime routines. I have adhd and it really keeps me on track. I'd buy the premium if I had the money, which is reasonable....I think $22-$27 for the year.","","November 1, 2022","Hello, Angela Holtz (Angie).

Thank you for loving Routinery!
We're happy to hear that we can help your daily life better.

More features will be updated continuously.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
