"
  Focus Dog: Study timer","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu8vPhJx5zu5jSrGFaE2NIxd5iyP1qEJFCCBS7Au=s32-rw","Adam Zuhry","October 4, 2022","helpful when you need to focus on homework and doing your studies. the app gave a more rewarding feeling after we have finished our stuff. Thanks!","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9cq92rk33XZkLTDOAE2h6FNNXpLBcqYVWWMPsK=s32-rw","Camille Louise Jauregui","May 23, 2022","I love the app so I bought the pro version but could be better if there is an option for custom pomodoro timer. I need a timer for 40 minutes but it only gives me the option of 30 and 45. I also want to report a bug that when my setting to stop the session after pomodoro cycle ends, after I collect my donuts the timer starts again and counts up as stopwatch. So I had to press stop button twice. Also, some buttons are not working like contact and bug report buttons and the ""+"" sign for coins.","17 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1QOePPp1lU-KawLhr0QPW33jP2CXaMYmkvYSqO9Q=s32-rw-mo","Shelby Donner","July 22, 2022","Other apps count backwards like Pomodoro. I wanted something that counted up so that I can actually go past my timer and won't be interrupted.","10 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8wDCAi4S4tbzTuvwY6H5mGnyD0x7vMhXKj9vZtLg=s32-rw","Olive","August 24, 2022","I downloaded this because it looked cute and I really need help focusing, but most options are locked and need the pro subscription to use. Max amount of time for focus is 25 minutes, and many other options and locked. Not very friendly for people who cant / wont spend money.","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0-mUshedLmamGsO3DNYMZCks577l1nrDRTBTP6UQ=s32-rw-mo","Cardiye","July 30, 2021","My app glitches sometimes. Timer can be 1 hour in and when i reopen the app the whole 1 hour is just gone and its at the 0:00:00 mark again. Very annoying. Also, user interface can be better, competition with friends can be more fun (see when theyre studying etc), achievements can have a separate page and there can be more achievements. The dog can be made customisable, and allow us to interact w it.The gems need a greater functionality. I see so much potential in the app, little has been done!","5 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_re-OLi0aMWNC05DS7Led6ganlOSTjRqFGt_FC4w=s32-rw","Brooke Esplin Stephenson","June 29, 2022","This app helped me graduate school. Knowing I have my focus dog running in the background helps me to continue doing work related tasks. If I want to switch to other activities, I have to turn it off, which I do sometimes, but then I lose out on special donuts so I'm motivated to stay on task. That just works for my brain for some reason I don't pretend to understand. Thanks for the diploma, doggo!","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_qrDLmxhx-fk8hBHjbr0qIaHi0JNwppyWk7_qA3A=s32-rw","Lauryn Adolph","August 20, 2021","I've stuck with this one the longest so I guess it's the best I've used. Super easy to set up and start; handful of daily challenges are nice. I think I would be more interested if I could customize.... well, anything. I bought the Pro version so I'm excited to see how this app evolves.","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9_e7ii6QAoQ-uPGMFLggjN63WGnK9jxsYMylBqjw=s32-rw","The Indian Kitchen","April 11, 2021","Amazingly good. I have used a lot of productivity apps before but none have been as good as this. The theme is super cute and the app works wonderfully. I haven't encountered any bugs so far but I think there should be a pomodoro mode just like the timer one.","15 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-rIrA5cY6oEHH0bmbPnTH2-nYOejqhgLFUNDzOMbQ=s32-rw","Jennifer Bailey","February 17, 2021","I really like this app I have tried many like it but the concept here is unique and it really helps me with my ADHD in a way that other pomodores don't because of the forward counting timer. I also like how it is encouraging. I don't always want to commit to a select time period so many pomodoro timers do not work for me, and this app is exactly what I needed.","19 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu17h01nAUVjZNpBB0G7U1HVcD_bjpSZLO8QufBq=s32-rw-mo","Christina Shin","January 23, 2022","I love making donuts for Focus Dog! Game elements like unlockable donuts, quests, and upgrades turn this focus timer into a fun and addicting game. Now I have an incentive to get off my phone and get things done. The free version is great, but I was happy to spend a few bucks on Pro+ if it meant supporting the developer. This app has been amazing for me as someone with ADHD and I recommend it to anyone who wants a little extra motivation to get off the phone from a funny little donut-crazed dog.","26 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu2Q4ydWYWnJCSOtu06JNC3BB0dsVqB-QOBgESTX=s32-rw-mo","Eugenia P González","December 15, 2021","The app is totally worth it!! So pretty 🥰 Nevertheless, I didn't rated 5 stars because I think the Pomodoro can be better: it doesn't work in cycle mode (like other Pomodoro apps do work-rest-workx4 and then long break) rather you put the time (25 min) and then the timer stops and you have to set it again. I think with a real Pomodoro set up the app will be perfect.","9 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8gcHkERGyMLiJHSLH4qbAopKnANCE52qEx96fCEw=s32-rw","Girgis Shawki (GIRGIs)","February 22, 2022","One of the best apps ever, I loved the features and how it keep motivating you; however a small feature that I really wanted to be present and it's have the timer in my notification panel so that I can see how much time I've spent but all the other things are good and I recommend it so much for everyone.","6 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-rUY_ujHTQXXv3ZPcsEUDY5L7yggD0C6CmGjw2B-Y=s32-rw","Margaret S.","March 21, 2022","I love the app emmensely and bought the pro+ almost immediately. The dog is adorable and the little donuts are cuteness overload. I also find the tagging and stats useful for tracking study time for each class im in. The only problem I've run into is that the ""purchase gems"" button has stopped working. I want to upgrade my machine but I need a few more gems.","10 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9WirQGsCqXebl2778rePo3MclasofNrSGh0wtfz1c=s32-rw","Janhvi Ahuja","June 22, 2020","It's a really nice app as it makes focusing easy and fun. You can also block away all the distractions through it. Although you need to have premium to use the time slots from 30 mins and above.","4 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1o8TA_x-JZ-cQpdwLHGb98jcBMecaftuxs92FX=s32-rw-mo","Shona Danby","March 14, 2021","I have a lot of documentation/ auditing working as a nurse. I find this app so helpful when it comes to concentration. It helps me get through hours of paper work when its easy to procrastinate 🙃 I feel guilty if I dont feed focus, the more hours I put in the more doughnuts i get its a win win situation. I wish focus was a little cuter.. But I really can't complain 😌 its super easy to use and I get everything done! Very happy","18 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 27, 2020","I love it. It's so great at providing that extra bit of motivation for me. The colour scheme is very fresh and lively and it's very simple to use. I think I'm even going to purchase pro but before I do, i would like to see more donut choices added as I have nearly all of them now.","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_W3ihZffaz26IA2OhwT1YWRmbq7JwSuZEM2sMl6aM=s32-rw","Tyler J","January 2, 2021","Very fun and helpful app. I had one small set of concerns with the app related to its suitability for my small children. Instead of blowing me off, getting defensive, or ignoring the request, the devs took my input and actually integrated it into the app! Needless to say, I was very pleasantly surprised. So I wholeheartedly recommend the app based upon its incredible usefulness and most of all the customer centered developer!","13 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3yGKoTljDWA732tGf4nQPR1tKfJ8j-mE__Y1Jq=s32-rw-mo","Dimuthu Yapa","July 4, 2021","I love this app alot due how functional it is when your studying. From the ability to know how long you studied to the timeline. To extra motivation, to work harder and earn donuts to feed your dog. You get to compare your work ethic with other users in the app. I love the designs and art of the app, especially the dog and the donuts. Love the friend feature aswell. I recommend this to everyone who needs an effective boost for studies.","16 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_AzXMfTq8xeOQ-Nm0yBaH0WwKBsIsn8b5AFoE93g=s32-rw","Starling Ohara","August 1, 2020","Super cute! Mess with the settings, you'll figure it out! I wish it had a tutorial... if it does, I dont know where to find it. But, it is a weirdly motivating way to stay focused...","9 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0JOltnc7LVNUPwET_fT7wNILOoPlkPissD7Hwp5w=s32-rw-mo","Gagan Kumar B.","March 12, 2021","Would love to see some customization for the dog and ......would love if you could make the Friends section FREE.....I think that's a really important feature to study timers and that's the only the reason my whole class uses FLIP instead of this masterpiece......loved the graphics and was even more impressed when I got to know that this app was single handedly made.Respect Bro.","3 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9CW4YodAMc69YKNk2J4iWW2XHvLGUqdofFpNHJoO8=s32-rw","Erin L. McCoy","November 15, 2022","I love this app! The only thing I would wish for is an Android widget.","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_Se4LNnWyxaNxX9OToV7K1vylhYHGI3DEkeyGssg=s32-rw","SireeNova","October 9, 2020","Honestly I was really hoping for a better experience. I've been searching for a good study app and I thought this would be it. The design is cute and I like the interface. The problem is that 97% of the features are premium only. I tried to work with this, but honestly I can't handle this anymore. The max amount of time you can study is 25 minutes for free. I for one cannot work at my best with only 25 minutes. If that's good for a free user I recommend it. If not, I don't recommend this at all.","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0ZPx3fN8prYtsQB9MYWfqCgbuci9xorUyDqsaZ=s32-rw-mo","Firas Zaidan","October 17, 2022","It helps me so much with my focusing and I even got better grades since I started using this app","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9EW0ATll_jP6qtwK_mFZQNYiguHbLQN8d0FRuW=s32-rw","Imashi Hirunya","September 10, 2022","I love this app too much. This is a little cute app. Thank u focus dog ♡<3","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8_Fz4YVvVBm2COs-h_mODFeKGYVgnVOK4Sf7ezcQ=s32-rw","Mikaela Palecek","February 4, 2022","Since the timer is a stopwatch, I would like it to have a countdown timer as well. I would also like if there was a cat version. I would also like if there was dark mode as well. Overall I love the graphics and it's a great app. Well done!","3 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8hhffGgdTpA_zi7LR85kaEMDKhR8CDwQZsjvvydA=s32-rw","Jimmy Vong","March 13, 2021","Love love love it! Very charming and straight to the point. Other apps are either boring or waste your time with too many game elements and distract you from actual work. Love this one and the developer has great communication.","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8_JoaA5pbFu71Xv6SofcCgNSjF3LxDyusE1Teu=s32-rw","MedStories","May 2, 2021","I just don't get it why this app has good ratings. You can't cutomise duration of timer, can't see monthly graphs, can't change white noise. Everything is pro in this app. 2stars just cause I love dogs and this app is related to that other wise a big no, no.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8k7DnEb8HlAuTWxKSjyfJa4bVL6R6sie_FDLqpO34=s32-rw","Maya Zarifah","August 29, 2021","The app is good but now it always glitches. When I go back to the app, all the progress is deleted and the timer is reset. Meaning that the hours I spent studying was wasted.","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_G3zYN3RnzN0BcghbqE8T6J3rjx7TeAPvEzvuhEQ=s32-rw","Moon Yeap","May 23, 2021","It is very diffrent from the other focus apps! However, there are a little issues.Focus the dog: I hope we could customize his fur colour with our coins.Donuts: Sometimes,I got less Donuts than I should be. Example:I got 10 Donuts and use them to feed Focus halfway in a session. Then, I should get 2 more Donuts since the counter said so, but I have nothing at all.The glitch rarely appears but I still hate it.Still a good app!","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9JJKRwLQpD8q4vW3qTPqdpApR_e9PzV51zvbcU=s32-rw","Kayleigh Wentzel","August 17, 2021","The app is so nice, but you need pro version to actually enjoy the app. I wish that you did not have to have pro version to enjoy the app. You can help real dogs too and I loved this feature but was soooooo disappointed when I saw that you have to pay. Really disappointed","2 people found this review helpful",""
