"
  Glan: Productivity focus timer","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_Pp8KcwTzemO43SYjo_TpamOy-V0GM16TXR2Pwvg=s32-rw","Jasmine JasNotes","October 25, 2020","This app is super helpful, Beautiful UI and excellent small learning tips. It would be Excellent great if it would lock screen on the Pomodoro timer--without it the function is useless. You lose track of time and don't stay on task if you're working/in flow. I've stopped using bc this kept happening and hope the developers adjust it in future updates. 🙏🏼✨","15 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_BvdruuC_qNDn_hvgrETcjwRTO4WaEneexKhJX=s32-rw","Stacy Claire Mesa","October 23, 2022","the app itself is so cute and its very functional. it is also very effective and i love that there are multiple choices for the white noise. the design is very cute and app itself is superb. the ads is kinda okay since its understandable.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8smgo95kevYqTjA6DDGC2ERGwOC6bly-9J84AVcMg=s32-rw","Dilara Acar","November 15, 2022","I love this app sooo much but i wish the stats section would be more advanced and i would love to get rewarded by my persistentcy. And a widget would be great too. I hope you develop the stats, i could even buy the pro version for it because the other things are just like they supposed to be. Thank you so much.","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9sdhWd5xOKvF1d2Pf8xy41tmHHRGP5yrWW_tCOE68=s32-rw","Benjamin Martin","August 9, 2020","It seems great right of the bat. Very intuitive, the UI is just pure calm and aesthetically pleasing which is great to relax yourself before the work begins. However, I would like to customize my work time more (such as 90 minutes) I think 90 minutes or 120 minutes tops before a long break is great and could be use for some people 😃. Other than that just keep improving the app and make it even lighter and easy to use without cluttering too much like other productivity app in the Playstore.","10 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-Hppqm3GBAGwy1wB7zQHZJFKYM6JdUeWWr6y6YfQ=s32-rw","Chuchu","April 3, 2022","It would be an easy 5 stars if there was an option to change the countdown instead of everything just being for 1 hour. It would also be nice if there was an option that there would be no countdown and that you could stop it when you were done. If the first thing was done, I'm sure many more people would be using it as it is very aesthetically pleasing. I hope you do fix that. Until than I have to continue my search for a good time app.","7 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Qq4XR1KlM54Cr8_35rstxQEzj-Qs87C1rw4wEPA=s32-rw","Ehsanul Banna","June 5, 2020","Nice UI!! However, would be nice if you added widget option for the to-do list. Also if the date and day are mentioned in the todo page would be great as well. Day wise todo list is i think is much more convenient. There's also no reminder and subtask option for the task. That's why bit of disappointed.","5 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-9k3iu9XNnaHaRKfA3KNV4zLfw6XEjzHGwRNuvUw=s32-rw","Des","October 19, 2021","The interface is simple and easy to handle, but efficient and effective for productivity, overall making it user friendly (wew I've been looking for this kind of app for a so long!). Highly recommend 💖 However, there's still a lot of things improve on... (Understandable cuz it's just recently released) Hopefully, the developers would add something like calendar support and repeat task so I wouldn't need to type the same tasks everyday 😆","17 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2cDi1QYNhfAmaQvH7OJnYsL3KYHqy5wHVV-6_n=s32-rw-mo","Abhishek Panwar","May 12, 2022","It is kinda good app but then it is not mandatory to use 3 hours to complete a task. Sometimes when a task is short and can be done in an hour or so, I click 'done' and then it started to show others task to complete, maybe I don't want to do other tasks for now. It would be good if you add a feature where we can set the time and break time by ourselves.","5 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8POxqCREfKOjXgUm7pRYtamxmeIXAtAw4KMGqW2g=s32-rw","Ichigo Mirai","September 21, 2020","Great App! I love how easy everything is!! Although I wish there was a way for the app to notify us when it's time to read a book or drink water, or any habit we have added so we'll be able to come back and recall what we have to do. Just a notification option really. Hoping for that kind of update soon if ever! Thank you so much for creating this application!","22 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-zQg_eq-TnFHAWinPI23rSvmSbqOBVNnoZL59vbA=s32-rw","Nakul Dhingra","May 31, 2022","The App is pretty great. UI is very clean and very less ads. The only reason to give it 4 star is like I am done in 10 mins instead of 30 mins.. save that time. And if i want to go on another task and leave the task I am doing it cannot happen. If you guyz improve it I am gonna give 5 stars","5 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 10, 2020","Simple, straightforward and useful. There's still some things that I hope I could do like see what I've done to boost motivation to finish more, option to add projects and subtasks, recurring task and waiting for the ads to load is kinda distracting. Still if you just want a timer with a to do list, this app is all it is.","4 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9AO1VIdddabmu1KyIx0ZMlJoVZ5ubbsz3vVDaGSQ=s32-rw","Lana Doxa","September 20, 2020","the app is great, but for me personally unusable as it doesnt let you edit the time - its always 20 mins. please add an option to change the time interval :( (previous review: absolutely beautiful, just looking at this piece of art makes me so calm and almost like im meditating. please, please treat ur designers with something sweet, this is brilliant work! )","9 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8qfiUxLUE0qix6FyYQ_TyEWiIZpI7pJW1uhLEUZg=s32-rw","Kara Faulkner","January 5, 2021","I've recently started using this app, and I'm loving it so far! It's simplistic, easy to use, and I'm in love with the layout. Even better is the attention to detail such as when you click on the ""Todo"" and ""Done"" buttons on the home screen, and the haptic feedback shows where you tapped on the button. The only complaint I have about the app is that it doesn't seem to have a login feature, and therefore no way to save your progress. However, this is only a minor setback to a great app.","14 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_lS9kiCjW-Q9Ss0x8b59nUKiCUpteWaMz1bQ7N4DU=s32-rw","Shahd ddd","April 15, 2022","The app is adorable, it makes me super productive and willing to study :) The white noise are super helpful too Looking forward to more white noise :) Also can you plz add an app blocking feature , with some whitelisted apps to use while the phone is locked, cause sometimes I get distracted by some apps and social media, this feature will really be helpful:)) Ty in advance ✨keep up the spirit 🌻","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8WF0bp5TqXseLVAN1279bG1sDhPfgvBYrcaJ7G-g=s32-rw","Aditi Gupta","March 25, 2022","Omo, it's just perfect... the best productivity app. 100% free app meaning all the features are free and no ads if you use offline. And statics are perfect too. It can make you highly productive in just 7 days. The to do list feature with timer is just best.It just made my life easier and perfect... There is more in the app butI can't write more than that... Just give it a try and you'll definitely love it. I Purple you app💜","9 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8esHNZlPqPYKSPOKMT_oQeS4fqV1-0HlWNy9g3=s32-rw","Tanushka","November 27, 2021","I loved it!!! But there are some things which I didn't like..first is that if I set a timer for 25 mins and I'm done with that task in 20 mins...but when I exit the time isn't recorded.!! So if I'm done with a task before set time so u also need to record the time I studied 😫 Second is a suggestion..I would looooooove if this app would ve available in dark mode too....thanks!!💜💜","16 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-pNR2KQjcsNHvivhlKKfozaLC2ZaJbfG8tjNW2ug=s32-rw","Zulekha Sardar","June 26, 2022","A very cute and effective app for pomodoro!... Everything is just perfect...But can you please add KEEP SCREEN ON option in this app? It will make it more perfect! After all I am satisfied! Thankyou!🥰Edit:Well i moved on from this app, but now i am again using it... The app was last updated a year ago....Pls add these things if you can because it is one of the best apps for study!! 1) Keep screen option 2) Black theme (not a priority) By the i love this app and may developer update this app!!🙁","6 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-KvVGqZmOzl8eAqolvIJPfOdDHceAHHTDnnJGRb5U=s32-rw","Viktorya Kirilova","April 4, 2021","Wonderful productivity app! I went through so many of them but Glan works best for me. I loove the white noise option during the pomodoros and the To do list, the simple and beautiful design.. Love it! Thank you for creating it for free use, I appreciate it! 🌷Also, it will be nice to have more nature sounds to choose from for the white noise","7 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 17, 2020","One of the best productivity apps i've used in a while. I like the daily target feature, it's useful when trying to manage a work-life balance. It has a good design and they also added ambient sounds to help you focus for free.I would happily recommend this app to anyone who would like to be more productive.","6 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 24, 2020","I really like this app! But some suggestions: 1. people may be tempted to give up on the app if some features are locked at the beginning without them knowing, eg colour coding 2. Festure to set deadlines for each task 3. App should automatically organise your tasks by priority and by colour code 4. Simple note taking feature 5. Different sets of focus timers for different types of tasks, eg I might not feel the need to take mental breaks every 30min while doing something I enjoy, eg reading","28 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0pIopVOfwctEEMob-7tPaXq934IXWJbfNJq4HWwA=s32-rw-mo","Dayana Naydeva","February 19, 2021","I like this app quite a lot. The simplicity and cuteness are in perfect harmony. I think the app might become even perfect if it has an option for having a personal account for somehow better personalisation, as well as a student calendar. But I love it anyway.","4 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8_Tg5B4wj_5dj9FnVVKYmeSkfyKgRXOYiIt9jS_w=s32-rw","rover","May 1, 2021","Honestly, this app is perfect. User interface is simple and aesthetic. The lessons about productivity and habit tracking are a really nice touch. Statistics are easy to see and understand. Simple and effective. 100% recommend for those who want to up their productivity.","8 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1U_EqNGzKa2BGRktjUvz6S9KVhEzfHLc8LCJEm=s32-rw-mo","Etta James","June 2, 2021","Nice aesthetic, terrible name. Sounds like ""gland"". Can we create our own categories please? Also when you add a task the 1st time you should be able to give it category. You have to create it 1st then go back into it to do so. Also the stats don't seem to be related to the completed tasks. I've completed loads of tasks but do not time them and the stats say ""0"". It's not clear what they relate to. Seems more like a timer app than a tracker? It's very confusing. Can the stats reflect all tasks?","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 18, 2020","It's a great app but it would be cool to see the tasks you've done already because I think it's motivating so see all these tasks in order to archieve more. And some more statistics would also be cool. Maybe a feature where you can compare yourself with others like ""who was the most productive in a week or month"".","31 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9AIWjflo96PNXXVBnas58Z7MZvkQ90fFYWx_Fb=s32-rw","tazkira juned","October 29, 2021","Amazing app- I used it for huge projects! So I was trying to find really good apps to help me and make me enjoy studying better since I kept feeling unmotivated. When I came across this, it looked so good and clear (and simple) I downloaded it. And wow - it worked so well, I loved its aestheticness so much and the simpleness that it helped me study really well! For someone like me, scrolling and finding too many complicated trackers, I highly recommend this one! Thank you so much Glan-it worked!","4 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3bIRXxz4oy1byW69Ek0VTc6iQdZqiDriE7ITtIHQ=s32-rw-mo","Nandika Chawla","June 23, 2021","Glan is a simple yet effective application, I had to try so many apps before I stopped at Glan. I'm a pre-med student, and it works pretty well for me. Two things that could make this app even better would be: • If we could share our stats at the end of the day, the number of ours we studied from inside the app, not as a screenshot. • If we could connect with our friends through the app and do a STUDY TOGETHER, that would be fun! All in all, a great app.","",""
