"
  Focus Plant - Pomodoro Forest","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu0QYB8xi6vavmvtvymCTgR8Nbeytx3GTLpikoxU=s32-rw-mo","Michelle K","Show review history","October 20, 2022","Been working great until recently. When I try to get the extra stuff from the ads, I'll watch the whole ad and then the ""claim reward"" button doesn't work. I even switched devices and still having the same issue.","1 person found this review helpful","November 15, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. Can you please check if you can watch ads now? We’ve been talking with our ad provider to resolve an ads storage issue. If you are still experiencing the problem, can you please let us know where you are from? Hope we can help with your productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-t-xFBFwhL8WKlZ6D6zp3G5R9m8I6RAjBY9nQkTA=s32-rw","VesselOfChrist John3:16","Show review history","October 18, 2022","Lobe the app it's working alot for me. Please in the next update I'm convinced that it would be a good idea to implement a time limit for the pause feature. Or/ and for us to change the amount of time we get to pause. MORE CUSTOMIZATION YET A NEAT INTERFACE!","1 person found this review helpful","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_jhBoRIOSyGdD1sF4ssX1ZmxAfLN8czVZt6LXzWQ=s32-rw","Hsu Yati","","October 29, 2022","I am very grateful that my friend recommended this to me! This is, so far, the most effective study app for me. Features are fascinating and not boring at all. In fact, this has motivated me to study, and after studying, I feel more accomplished than usual. The plants, as well as the prompts, are adorable. I am also thankful to you for creating this app! 🌳🤍","","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9R1hqNFH8VqG9V9ylFhqNOloBaY5VlZppPI25YXg=s32-rw","Carol Bao","Show review history","July 29, 2022","I love this so much! This app was probably one of the most helpful focus apps out there since there's no pressure for you to work for a long time, which really helped lengthen my short attention span, and the friend mode really motivated me to be productive. However, there has been some bugs lately, where when I log in, none of the buttons are available, I get way less water than I'm supposed to, and if I accidently go to another app but then leave that app, the 20 sec strict timer doesn't stop.","35 people found this review helpful","June 29, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora.
Have you tried to update the app or reinstall it? If the issue still exists after updating/reinstalling, please send us a screen capture to ally.zhu@shikudo.com so that we can investigate. Hope we can help with your study, productivity and to-do! Thank you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-dhaXr0SjW9_wHok33zNVpnRS2r0fM2_D2CX1W=s32-rw","Pietro Zambon","Show review history","July 12, 2022","Wonderful app! I find it more useful and enjoyable than other similar apps. And since its free its even better. I try to watch some ads when i use it so to pay back the creators. Other apps that help you manage time give you a negative result when you can't finish your time session but here if you can't do it you are not ashamed and the only consequence is that your reward is not earned. One thing that bothers me is the pause button: it's too frictionless so it's really easy to loose focus.","25 people found this review helpful","August 20, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. We'll discuss your suggestion. If you have any more feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_X1fOcAn6Bw8wN1g36KFouiyVLAQQ5bQGYN5X1=s32-rw","Ciel Alice","","September 23, 2022","I think the UI of the app is quite interesting but I just don't really like to wait each time I want to water my plants I don't really get the idea of it. Otherwise I think the other features are OK 👍🏻","3 people found this review helpful","November 15, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. We'll discuss your suggestion. If you have any more feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_bg3mvh9LdnNAIhG80IHteAfRyJlniByqHcktc=s32-rw","its naman 2.0","Show review history","October 12, 2022","This app is just awesome and it deserves 5 stars but I am just giving it a three cuz recently it was asking for update and due to some issues I was not using this app for a long time and hence I did not update it and now few weeks ago I started to use this app again but I am facing some difficulty all the plants are misplaced icons are overlapping on each other and I am unable to plant more tree since the plant icon is not responding.. i don't know what is happening plz try to correct this..","6 people found this review helpful","November 15, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. That's weird, the only thing I would suggest is to reinstall the game. Please connect to one of the 3rd party accounts before reinstallation so you can retrieve your progress back. Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9cz4uksXOH_ubhk7TAnorVFCnU8EXDsgPGSQllFw=s32-rw","Sri Abbiraami","","November 5, 2022","Unable to collect the offline focud rewards. Pop for ad comes. Not able to play it nor able to collect the reawrd droplets. Show the ad cannot be played. Otherwise the app is very helpful. Kindly help with the above problm.","1 person found this review helpful","November 12, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. Can you please try to update the game to the latest version? If the problem still exists, can you please send a video capture of the issue to mars.zhu@shikudo.com so we can help out? Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a/ALm5wu0_MTJmrNzxa0opqfi-3i9GaKnwvH3A_dxixap2=s32-rw-mo","Miriam Erickson","","July 3, 2022","So cute! But...I was really hoping to just get rewarded for my focused time by simply watering a plant & watching it grow for a few seconds -- ironically, I focused for 15 minutes on a task & was rewarded with so many points (& subsequent in-game points & little side-thingies to pay attention to), that I spent twice as much time in-app than IRL. It's just too much for me! Uninstalling. If the app is simlpified and more focused later on, I'd love to try it again.","22 people found this review helpful","August 20, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. The raindrop cost is quite low at the beginning as it is designed to ease the early learning curve and the raindrop consumption increases as you progress. Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8FORSG7qNYhtixZfK1irLo-Rt0_BVEyqLUgyt2-A=s32-rw","Spirita Gomes","","July 3, 2022","This app lags a lot. In fact, it takes more than 2 mins to open. Conversely, I like the interface and the feature of its timer and stopwatch, In addition, also how generously it gives point, which made me more serious to focus on my study. But, as it lags, hangs and loads a lot, I will uninstall this. It doesn't work for me. It takes half of my time only to open the app and start the timer. However I will look forward to see some improvements and its developed version.","28 people found this review helpful","August 20, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. Can you please try to update the app to the latest version? We've fixed a bunch of loading issues. Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9RRdS89-JMJCLZF3eY0FD0rkiy5mrgNbBGsGTkiA=s32-rw","Sarah Decoteau","Show review history","August 29, 2022","I want to like this app, but I cannot figure out how to find the app whitelist - I need to have access to Slack for work purposes even during a focus session - or even if there is a premium subscription option, nothing. There is no ""help"" or ""faq"" that I can find, and there is no website for the app. There is a user forum, but I can't find the answers I need there, either. It's caused me to spend more time on my phone trying to figure these things out than less, and I'm ready to give up.","1 person found this review helpful","November 15, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. You can turn on the whitelist mode after turning on the 'strict mode'. Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a/ALm5wu1r-wKdf2lSxk_Ws6XHxQuc1f3zr7P9mjB6ifJR9A=s32-rw-mo","Margret Minette Ross","","September 15, 2022","It is a really helpful app! It challenges you to stay focus and the art style and design of the app are also very cute! It's like a farming game and a focus timer in one.","","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Jr2DmQjMq0lJMvHPfy-4KCg0ExXcwfwE5aGHBSw=s32-rw","Princess Allysa Saturnino","","October 11, 2022","Really the best productivity/game app. It keeps me motivated to do my goals and reduce my screentime. I've had trouble focusing because of mental health issues but this helps!","","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a/ALm5wu3prZ4mix5gPNFR3tsaedbqa6pJRX7DHq9u6gY_=s32-rw-mo","Harvinder Singh","Show review history","November 18, 2022","it's not connecting to the striving app. When I tap on g GO it opens striving but nothing happens. And successively harder and more rewarding tasks should be given its always the same.","7 people found this review helpful","November 15, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. You need to create an account in Striving first, then go back to Focus Plant and click GO. Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a/ALm5wu0uMiwrOUZ_yo5RtVZuBvS-GFl7m-WmKVGXQaeG=s32-rw-mo","Daniel Mourad","","October 27, 2022","Seems pretty good but right now the time gates and raindrop rewards are way out of wack. I have way more drops than I can spend, which kind of kills this a motivation tool.","","November 12, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. The raindrop cost is quite low at the beginning as it is designed to ease the early learning curve and the raindrop consumption increases as you progress. Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a/ALm5wu39RgSo2XaHjM2rBtPIpKHHHtnCwT5BMHUWtVLG=s32-rw-mo","Mammu Pai","","September 29, 2022","So far, so good. Too early to tell how really good it is. Been using it just 2 days. Will update once I get more days done. For now, love the focus timer that motivates me to sit & work continuously for 25 mins at a time.","","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a/ALm5wu3GEKk0tEjOk-hT-8Wv7EBKMEhlSF4_2xt022Lw=s32-rw-mo","M P","","June 13, 2022","Pretty fun but gimmicks actually make me less productive. Upon start, there are so many notifications to clear and ads to watch that I lose time and get distracted from working. Having to activate the whitelist to use my work apps simultaneously is hard to remember, then I have to back out and reactivate the timer properly.","7 people found this review helpful","June 16, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. We'll discuss your suggestion. If you have any more feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_2PSrqssJKtYVamM4vErOBH4Ro79BFg1EPeNXO7A=s32-rw","Justine R","","July 1, 2022","I love this app. Other motivational apps punish you for missing a few days, this one just continues to reward you but less, and reminds you to keep studying without the feeling of guilt. I think the whale is so smart, it reminds me to check the app, which reminds me to do my tasks. I also love being able to ‘tag’ my tasks so I can see what proportion of time I am spending on them. The designs are really cute too, so I want to grow more plants!","3 people found this review helpful","August 20, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_1W47-IfMiLZzPlpcLK5tFLnDjftkKpqCEterV9g=s32-rw","Irina Moldoveanu","Show review history","August 26, 2022","The app was great and I was watching ads for the rewards but the new ad system has made it impossible to use. Not only do they pop up everytime you leave and come back to the app during focus (distracting) but they also come up during shifting from land to focus. I shifted 4 times to check my stats and plants and had to watch 2 ads immediately. Overall watched 3 ads in less than 5 minutes, no reward for them.","16 people found this review helpful","December 19, 2020","Hi, we are testing some less disruptive ads and they will only be shown if you haven’t watched 3 video ads in the last 3 days (1/day average) or purchased anything. Unfortunately, they are introduced to keep all the focus related to functionalities free. We'll be adjusting the frequency or placement. Thank you for understanding and support!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8qLN9rQLaZWlfjiOvQgJtWlRHXh2ZHHI7dp_LKgvg=s32-rw","Raquel de Noronha","","November 6, 2022","Adorable! It's funny (and sad at the same time) to see that's it's almost painfull to be unable to use my phone... But my plants need water so I'm staying strong hehe Good job with this app! 🌸","","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9nvVibsx9ZtAiB8OfhLlHNa5CApqeltQWkv11hOto=s32-rw","Rain Regala","","November 1, 2022","Enjoyable and efficient. There's something to look forward to. A motivation at the end of every session. Nice app! Love it! 💙","","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9GNttZdw_wxndssB930P0TsQQl3KJ0FPaI7voTuw=s32-rw","Farnaz Ashrafi","Show review history","July 10, 2022","I have installed it for a day but I wanted to say it's awesome! It makes me be productive because I want those cute plants to grow quickly. It really suits me and my taste. Thanks for creating such a lovely and practical app. I couldn't find the ""pause"" option when I used the pomodoro mode. It will be great if you add it. I created a group there and went awwww :"")","2 people found this review helpful","August 20, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. The pause button appears when you focus under the strict mode. Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu81B_q-xJ-Q9V4YuOptR-rZbGuMSQcCeprcAlHXjr0=s32-rw","Pranay Bhoir","","November 3, 2022","Very good game, but i think the amount of raindrops given should be limited so the users could focus rather than spending more time on game.","","November 12, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. The raindrop cost is quite low at the beginning as it is designed to ease the early learning curve and the raindrop consumption increases as you progress. Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-aC0uCQOnmHRgwM3HamEDsgojnvhkfY9JlV7FT=s32-rw","saloni singh kushwah","","September 22, 2022","It's a really good and cute app. I love how it has strict mode as well with all the already given features. As it helps me to restrain myself from using phone unnecessarily.","1 person found this review helpful","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu98xK_bZP94N3CX0Lf6-GMsOWx5gyN1_Y9EUz4V4nM=s32-rw","Farhana Luba","","November 10, 2022","Without this app, I wouldn't be passing my final professional exams and become a doctor. I'm grateful for this wonderful app.","","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu83unD2xTbqsguuZC3tO5krtJ2D__DasLJTNuVNxQ=s32-rw","Vincy Ang","","October 1, 2022","It really helps me to focus during work. And the plants are so lovely💘 I am addicted to it😆 It is easy to use, and I never seen ads pop out.","2 people found this review helpful","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9yFQTSbW0KLTsfvhVj_sXf3PjGiBGt9FSgdukLwQ=s32-rw","Rakshitha Deena","","September 6, 2022","This app is simply awesome. I've been using this app for an year now . The designs are so cute and it reminds me everyday to collect the rainy whale droplets which makes me use the app and joining the groups is also highly motivating","4 people found this review helpful","November 15, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_scpm_BqmXmnMx4kNQW6aoFgPvtDnkGHKM_vv-KA=s32-rw","Bradley Taylor","","September 26, 2022","I have been using this app daily for about two weeks now. I have reduced my time on my phone significantly and I only check it every hour or so now. I used to check it multiple times an hour. Over all, it does what it says and is pretty fun.","","November 15, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-6mqLg4jI-zqGDyuEUvj7aDDIkqAfs241NjimLKw=s32-rw","-i D o r a e m o n-","","September 4, 2022","I love how aesthetic this is. I just hope the diversity of data display methods could be increased such as allowing you to compare only the time spent on certain tags.","","November 15, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. We'll discuss your suggestion. If you have any more feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
